,0
2079,177102
2080,85963
2081,454
2082,24643
2083,113542
2084,40062
2085,138481
2086,67936
2087,40231
2088,56961
2089,139218
2090,164166
2091,123841
2092,26353
2093,80704
2094,133994
2095,242601
2096,215321
2097,171211
2098,195611
2099,48237
2100,63534
2101,243801
2102,120034
2103,165779
2104,115740
2105,40397
2106,20295
2107,101577
